Date,Time,TxBat(V),VFR 900M(%),RSSI 900M(dB),RX,AccX(g),RxBatt(V),Power 900M(mW),AccZ(g),RSSI 2.4G(dB),RX,AccY(g),VFR 2.4G(%),Rx VFR(%),R.angle(°),P.angle(°),ADC2(V),GPS speed(km/h),GPS,GPS alt(m),GPS clock(),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Ext1,Ext2,Pot3,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,
2026-05-29,09:07:03.000,8.33,100,100,0,-0.125,5.91,25,1.002,98,0,0.016,100,100,0.55,-7.28,0.00,0,55.415900 12.873600,,2026-05-29 09:07:03,0,0,-1024,190,-430,1,41,-21,322,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-33,8,-1024,0,-33,0,0,0,0,0,0,0,297,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:07:03.120,8.33,100,100,0,-0.125,5.93,25,0.992,98,0,0.013,100,100,0.53,-7.28,0.00,0,55.415900 12.873600,,2026-05-29 09:07:03,0,0,-1024,0,-430,0,41,-20,322,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,36,8,-1024,0,36,0,0,0,0,0,0,0,297,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:07:03.230,8.33,100,100,0,-0.120,5.95,25,0.979,98,0,0.008,100,100,0.50,-7.28,0.00,0,55.415900 12.873600,,2026-05-29 09:07:03,0,0,-1024,0,-430,1,42,-21,322,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,36,8,-1024,0,36,0,0,0,0,0,0,0,297,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:07:03.350,8.32,100,100,0,-0.125,5.96,25,1.000,98,0,0.011,100,100,0.50,-7.28,0.00,0,55.415900 12.873600,,2026-05-29 09:07:03,0,0,-1024,-447,-430,0,42,-20,322,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,199,8,-1024,0,199,0,0,0,0,0,0,0,297,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:07:03.470,8.32,100,100,0,-0.125,5.95,25,1.000,98,0,0.011,100,100,0.49,-7.28,0.00,0,55.415900 12.873600,,2026-05-29 09:07:03,0,0,-1024,-1015,-430,0,42,-21,322,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,523,8,-1024,0,523,0,0,0,0,0,0,0,297,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:07:03.590,8.32,100,100,0,-0.126,5.96,25,1.006,99,0,0.008,100,100,0.45,-7.28,0.00,0,55.415900 12.873600,,2026-05-29 09:07:03,0,-9,-1024,-1024,-430,1,41,-19,322,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,530,12,-1024,0,530,0,0,0,0,0,0,0,298,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:07:03.700,8.32,100,100,0,-0.125,5.95,25,1.005,99,0,0.009,100,100,0.47,-7.28,0.00,0,55.415900 12.873600,,2026-05-29 09:07:03,0,0,-1024,-921,-430,0,42,-19,322,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,455,8,-1024,0,455,0,0,0,0,0,0,0,297,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:07:03.820,8.32,100,100,0,-0.125,5.93,25,1.005,99,0,0.009,100,100,0.47,-7.28,0.00,0,55.415900 12.873600,,2026-05-29 09:07:03,0,0,-1024,-496,-429,2,43,-20,322,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,220,8,-1024,0,220,0,0,0,0,0,0,0,298,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:07:03.930,8.33,100,100,0,-0.124,5.89,25,1.007,99,0,0.009,100,100,0.51,-7.28,0.00,0,55.415900 12.873600,2,2026-05-29 09:07:03,0,0,-1024,-137,-430,1,41,-21,322,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,82,8,-1024,0,82,0,0,0,0,0,0,0,297,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:07:04.050,8.32,100,100,0,-0.127,5.92,25,0.982,99,0,0.021,100,100,0.55,-7.28,0.00,0,55.415900 12.873600,2,2026-05-29 09:07:04,0,0,-1024,0,-429,1,41,-22,321,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,36,8,-1024,0,36,0,0,0,0,0,0,0,298,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
