Date,Time,TxBat(V),VFR 900M(%),RSSI 900M(dB),RX,AccX(g),RxBatt(V),Power 900M(mW),AccZ(g),RSSI 2.4G(dB),RX,AccY(g),VFR 2.4G(%),Rx VFR(%),R.angle(°),P.angle(°),ADC2(V),GPS speed(km/h),GPS,GPS alt(m),GPS clock(),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Ext1,Ext2,Pot3,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,
2026-05-29,09:09:02.410,8.30,100,100,0,-0.150,6.00,25,0.989,84,0,0.000,100,100,-0.25,-8.85,0.00,0,55.416300 12.873400,3,2026-05-29 09:09:02,0,0,-1023,0,-430,0,44,-20,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,0,36,8,-1023,0,36,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:09:02.510,8.30,100,100,0,-0.151,5.97,25,0.990,84,0,0.001,100,100,-0.24,-8.85,0.00,0,55.416300 12.873400,3,2026-05-29 09:09:02,0,0,-1024,0,-429,0,45,-5,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,0,36,8,-1024,0,36,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:09:02.620,8.30,100,100,0,-0.151,5.98,25,0.990,84,0,0.001,100,100,-0.24,-8.85,0.00,0,55.416300 12.873400,3,2026-05-29 09:09:02,0,0,-1024,0,-429,0,45,-4,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,0,36,8,-1024,0,36,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:09:02.740,8.30,100,100,0,-0.152,5.98,25,0.993,84,0,0.000,100,100,-0.24,-8.85,0.00,0,55.416300 12.873400,3,2026-05-29 09:09:02,0,0,-1024,0,-430,0,45,-1,321,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,0,36,8,-1024,0,36,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:09:02.860,8.31,100,100,0,-0.152,5.99,25,0.990,83,0,0.001,100,100,-0.24,-8.85,0.00,0,55.416300 12.873400,3,2026-05-29 09:09:02,0,0,-1024,0,-430,0,45,-17,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,0,36,8,-1024,0,36,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:09:02.980,8.31,100,100,0,-0.152,5.99,25,0.990,81,0,0.001,100,100,-0.24,-8.85,0.00,0,55.416300 12.873400,4,2026-05-29 09:09:03,0,0,-598,0,-430,0,45,-1,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,36,8,-598,0,36,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:09:03.100,8.31,100,100,0,-0.150,6.00,25,0.986,80,0,0.001,100,100,-0.24,-8.85,0.00,0,55.416300 12.873400,4,2026-05-29 09:09:03,0,0,-474,0,-430,0,45,-1,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,36,8,-474,0,36,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:09:03.220,8.31,100,100,0,-0.150,6.00,25,0.985,79,0,0.001,100,100,-0.23,-8.85,0.00,0,55.416300 12.873400,4,2026-05-29 09:09:03,0,0,-236,0,-430,0,46,-1,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,36,8,-236,0,36,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:09:03.340,8.31,100,100,0,-0.150,5.98,25,0.990,79,0,0.003,100,100,-0.24,-8.85,0.00,0,55.416300 12.873400,4,2026-05-29 09:09:03,0,0,-96,0,-430,0,45,-3,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,36,8,-96,0,36,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:09:03.450,8.31,100,100,0,-0.150,5.98,25,0.990,79,0,0.003,100,100,-0.24,-8.85,0.00,0,55.416300 12.873400,4,2026-05-29 09:09:03,0,0,73,0,-429,0,44,-3,321,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,36,8,73,0,36,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
