Date,Time,TxBat(V),VFR 900M(%),RSSI 900M(dB),RX,AccX(g),RxBatt(V),Power 900M(mW),AccZ(g),RSSI 2.4G(dB),RX,AccY(g),VFR 2.4G(%),Rx VFR(%),R.angle(°),P.angle(°),ADC2(V),GPS speed(km/h),GPS,GPS alt(m),GPS clock(),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Ext1,Ext2,Pot3,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,
2026-05-29,09:10:21.960,8.30,100,77,0,0.083,5.97,25,-0.620,74,0,0.013,100,100,172.94,9.20,0.00,72,55.417000 12.872900,99,2026-05-29 09:10:22,0,51,-211,-170,-429,1,47,0,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,94,-11,-211,0,94,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:10:22.070,8.30,100,75,0,0.086,5.96,25,-0.620,73,0,0.013,100,100,172.94,9.20,0.00,72,55.417000 12.872900,99,2026-05-29 09:10:22,0,129,-210,-139,-429,0,47,0,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,83,-38,-210,0,83,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:10:22.190,8.31,100,73,0,0.086,5.94,25,-0.648,73,0,0.046,100,100,168.10,10.69,0.00,72,55.417000 12.872900,99,2026-05-29 09:10:22,0,133,-211,-125,-430,0,47,0,321,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,78,-39,-211,0,78,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:10:22.300,8.30,100,70,0,0.072,5.96,25,-0.967,73,0,0.056,100,100,163.37,10.64,0.00,72,55.417000 12.872900,99,2026-05-29 09:10:22,0,133,-211,-128,-430,0,48,0,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,79,-39,-211,0,79,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:10:22.420,8.31,100,69,0,0.050,5.96,25,-0.967,73,0,0.100,100,100,160.61,9.02,0.00,72,55.417000 12.872900,99,2026-05-29 09:10:22,0,144,-210,-106,-429,0,47,0,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,73,-43,-210,0,73,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:10:22.530,8.30,100,69,0,0.050,5.94,25,-1.193,73,0,0.100,100,100,160.61,9.02,0.00,72,55.417000 12.872900,99,2026-05-29 09:10:22,0,180,-210,-40,-429,0,48,-2,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,50,-57,-210,0,50,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:10:22.640,8.30,100,70,0,0.040,5.93,25,-1.329,74,0,0.142,100,100,157.73,7.27,0.00,72,55.417000 12.872900,99,2026-05-29 09:10:22,0,189,-210,-57,-429,1,47,0,321,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,56,-60,-211,0,56,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:10:22.760,8.30,100,71,0,0.040,5.95,25,-1.417,73,0,0.104,100,100,156.30,5.33,0.00,72,55.417000 12.872900,99,2026-05-29 09:10:22,0,184,-211,-84,-430,0,46,0,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,65,-58,-211,0,65,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:10:22.870,8.30,100,73,0,0.040,5.96,25,-1.417,72,0,0.104,100,100,156.30,5.33,0.00,72,55.417000 12.872900,99,2026-05-29 09:10:22,0,178,-211,-63,-430,0,47,0,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,58,-56,-211,0,58,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-05-29,09:10:23.000,8.30,100,76,0,0.036,5.98,25,-1.406,71,0,0.136,100,100,153.94,3.29,0.00,74,55.417100 12.873100,93,2026-05-29 09:10:23,0,182,-211,-59,-430,2,47,-1,322,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1,56,-58,-210,0,56,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
